#LHCb RICH ECQA DCR
#DATE		HOUR
2019-11-16	01:13:18
#VOLTAGE[V]
1000
#NPULSES[k]
100
#FREQ[[kHz]
1
# THRESHOLD (if fixed, write hexadecimal value; if optimized, write configuration file name)
307
#UART	FEB	CHIP	CHANNEL	Hit_Counts
0	0	0	0	533
0	0	0	1	560
0	0	0	2	0
0	0	0	3	0
0	0	0	4	0
0	0	0	5	1187
0	0	0	6	0
0	0	0	7	2237
0	0	1	0	711
0	0	1	1	1
0	0	1	2	810
0	0	1	3	2
0	0	1	4	0
0	0	1	5	0
0	0	1	6	393
0	0	1	7	384
0	0	2	0	399
0	0	2	1	0
0	0	2	2	467
0	0	2	3	0
0	0	2	4	415
0	0	2	5	0
0	0	2	6	483
0	0	2	7	0
0	0	3	0	0
0	0	3	1	516
0	0	3	2	0
0	0	3	3	353
0	0	3	4	0
0	0	3	5	531
0	0	3	6	0
0	0	3	7	376
0	0	4	0	0
0	0	4	1	440
0	0	4	2	0
0	0	4	3	336
0	0	4	4	0
0	0	4	5	433
0	0	4	6	0
0	0	4	7	403
0	0	5	0	457
0	0	5	1	0
0	0	5	2	553
0	0	5	3	0
0	0	5	4	358
0	0	5	5	0
0	0	5	6	547
0	0	5	7	0
0	0	6	0	1354
0	0	6	1	0
0	0	6	2	935
0	0	6	3	0
0	0	6	4	0
0	0	6	5	0
0	0	6	6	459
0	0	6	7	433
0	0	7	0	379
0	0	7	1	373
0	0	7	2	0
0	0	7	3	0
0	0	7	4	0
0	0	7	5	762
0	0	7	6	0
0	0	7	7	677
0	1	0	0	289
0	1	0	1	301
0	1	0	2	0
0	1	0	3	0
0	1	0	4	0
0	1	0	5	798
0	1	0	6	0
0	1	0	7	706
0	1	1	0	2022
0	1	1	1	3
0	1	1	2	1379
0	1	1	3	0
0	1	1	4	0
0	1	1	5	0
0	1	1	6	537
0	1	1	7	412
0	1	2	0	303
0	1	2	1	0
0	1	2	2	404
0	1	2	3	0
0	1	2	4	301
0	1	2	5	0
0	1	2	6	338
0	1	2	7	0
0	1	3	0	0
0	1	3	1	431
0	1	3	2	0
0	1	3	3	1170
0	1	3	4	0
0	1	3	5	450
0	1	3	6	0
0	1	3	7	361
0	1	4	0	0
0	1	4	1	375
0	1	4	2	0
0	1	4	3	284
0	1	4	4	3
0	1	4	5	411
0	1	4	6	2
0	1	4	7	321
0	1	5	0	359
0	1	5	1	3
0	1	5	2	392
0	1	5	3	3
0	1	5	4	326
0	1	5	5	0
0	1	5	6	421
0	1	5	7	0
0	1	6	0	3681
0	1	6	1	6
0	1	6	2	2692
0	1	6	3	3
0	1	6	4	0
0	1	6	5	0
0	1	6	6	479
0	1	6	7	326
0	1	7	0	436
0	1	7	1	500
0	1	7	2	0
0	1	7	3	0
0	1	7	4	0
0	1	7	5	1926
0	1	7	6	2
0	1	7	7	1565
1	0	0	0	242
1	0	0	1	230
1	0	0	2	0
1	0	0	3	1
1	0	0	4	0
1	0	0	5	331
1	0	0	6	2
1	0	0	7	352
1	0	1	0	374
1	0	1	1	2
1	0	1	2	343
1	0	1	3	0
1	0	1	4	0
1	0	1	5	0
1	0	1	6	314
1	0	1	7	264
1	0	2	0	232
1	0	2	1	0
1	0	2	2	226
1	0	2	3	0
1	0	2	4	449
1	0	2	5	0
1	0	2	6	199
1	0	2	7	0
1	0	3	0	0
1	0	3	1	346
1	0	3	2	0
1	0	3	3	273
1	0	3	4	0
1	0	3	5	324
1	0	3	6	0
1	0	3	7	228
1	0	4	0	0
1	0	4	1	212
1	0	4	2	0
1	0	4	3	770
1	0	4	4	0
1	0	4	5	198
1	0	4	6	0
1	0	4	7	216
1	0	5	0	225
1	0	5	1	0
1	0	5	2	372
1	0	5	3	0
1	0	5	4	233
1	0	5	5	0
1	0	5	6	319
1	0	5	7	0
1	0	6	0	421
1	0	6	1	0
1	0	6	2	436
1	0	6	3	1
1	0	6	4	0
1	0	6	5	0
1	0	6	6	256
1	0	6	7	281
1	0	7	0	230
1	0	7	1	290
1	0	7	2	0
1	0	7	3	0
1	0	7	4	2
1	0	7	5	403
1	0	7	6	2
1	0	7	7	430
1	1	0	0	181
1	1	0	1	220
1	1	0	2	0
1	1	0	3	0
1	1	0	4	0
1	1	0	5	292
1	1	0	6	0
1	1	0	7	311
1	1	1	0	347
1	1	1	1	0
1	1	1	2	328
1	1	1	3	0
1	1	1	4	0
1	1	1	5	0
1	1	1	6	233
1	1	1	7	188
1	1	2	0	178
1	1	2	1	0
1	1	2	2	208
1	1	2	3	1
1	1	2	4	178
1	1	2	5	0
1	1	2	6	147
1	1	2	7	0
1	1	3	0	0
1	1	3	1	274
1	1	3	2	0
1	1	3	3	221
1	1	3	4	0
1	1	3	5	217
1	1	3	6	0
1	1	3	7	238
1	1	4	0	0
1	1	4	1	207
1	1	4	2	2
1	1	4	3	218
1	1	4	4	3
1	1	4	5	207
1	1	4	6	3
1	1	4	7	222
1	1	5	0	252
1	1	5	1	2
1	1	5	2	217
1	1	5	3	3
1	1	5	4	211
1	1	5	5	2
1	1	5	6	203
1	1	5	7	0
1	1	6	0	357
1	1	6	1	4
1	1	6	2	445
1	1	6	3	3
1	1	6	4	3
1	1	6	5	4
1	1	6	6	209
1	1	6	7	193
1	1	7	0	232
1	1	7	1	256
1	1	7	2	3
1	1	7	3	3
1	1	7	4	6
1	1	7	5	600
1	1	7	6	3
1	1	7	7	540
4	0	0	0	1118
4	0	0	1	1202
4	0	0	2	0
4	0	0	3	0
4	0	0	4	0
4	0	0	5	1931
4	0	0	6	0
4	0	0	7	2898
4	0	1	0	1434
4	0	1	1	0
4	0	1	2	1545
4	0	1	3	0
4	0	1	4	0
4	0	1	5	0
4	0	1	6	976
4	0	1	7	811
4	0	2	0	1047
4	0	2	1	0
4	0	2	2	1269
4	0	2	3	0
4	0	2	4	1114
4	0	2	5	0
4	0	2	6	1370
4	0	2	7	0
4	0	3	0	0
4	0	3	1	1408
4	0	3	2	0
4	0	3	3	1000
4	0	3	4	0
4	0	3	5	1688
4	0	3	6	0
4	0	3	7	1179
4	0	4	0	0
4	0	4	1	1139
4	0	4	2	0
4	0	4	3	1104
4	0	4	4	0
4	0	4	5	1180
4	0	4	6	0
4	0	4	7	955
4	0	5	0	1151
4	0	5	1	0
4	0	5	2	1642
4	0	5	3	0
4	0	5	4	1187
4	0	5	5	0
4	0	5	6	1511
4	0	5	7	0
4	0	6	0	45156
4	0	6	1	0
4	0	6	2	12942
4	0	6	3	0
4	0	6	4	0
