#LHCb RICH ECQA DCR
#DATE		HOUR
2019-11-16	01:10:14
#VOLTAGE[V]
1000
#NPULSES[k]
100
#FREQ[[kHz]
1
# THRESHOLD (if fixed, write hexadecimal value; if optimized, write configuration file name)
/home/labo/DATA/Load_0050_H_S1/THR_1000V_offset1_Opt_Thr.txt
#UART	FEB	CHIP	CHANNEL	Hit_Counts
0	0	0	0	537
0	0	0	1	605
0	0	0	2	0
0	0	0	3	0
0	0	0	4	0
0	0	0	5	1198
0	0	0	6	0
0	0	0	7	2300
0	0	1	0	644
0	0	1	1	0
0	0	1	2	776
0	0	1	3	0
0	0	1	4	0
0	0	1	5	0
0	0	1	6	415
0	0	1	7	401
0	0	2	0	586
0	0	2	1	0
0	0	2	2	467
0	0	2	3	0
0	0	2	4	456
0	0	2	5	0
0	0	2	6	489
0	0	2	7	0
0	0	3	0	0
0	0	3	1	447
0	0	3	2	0
0	0	3	3	439
0	0	3	4	0
0	0	3	5	541
0	0	3	6	0
0	0	3	7	499
0	0	4	0	0
0	0	4	1	414
0	0	4	2	0
0	0	4	3	446
0	0	4	4	0
0	0	4	5	453
0	0	4	6	0
0	0	4	7	492
0	0	5	0	458
0	0	5	1	0
0	0	5	2	561
0	0	5	3	0
0	0	5	4	401
0	0	5	5	0
0	0	5	6	511
0	0	5	7	0
0	0	6	0	1375
0	0	6	1	0
0	0	6	2	1140
0	0	6	3	0
0	0	6	4	0
0	0	6	5	0
0	0	6	6	488
0	0	6	7	498
0	0	7	0	386
0	0	7	1	434
0	0	7	2	0
0	0	7	3	0
0	0	7	4	0
0	0	7	5	939
0	0	7	6	0
0	0	7	7	819
0	1	0	0	295
0	1	0	1	312
0	1	0	2	0
0	1	0	3	0
0	1	0	4	0
0	1	0	5	824
0	1	0	6	0
0	1	0	7	710
0	1	1	0	2003
0	1	1	1	0
0	1	1	2	1413
0	1	1	3	0
0	1	1	4	0
0	1	1	5	0
0	1	1	6	588
0	1	1	7	435
0	1	2	0	360
0	1	2	1	0
0	1	2	2	488
0	1	2	3	0
0	1	2	4	288
0	1	2	5	0
0	1	2	6	383
0	1	2	7	0
0	1	3	0	0
0	1	3	1	457
0	1	3	2	0
0	1	3	3	1150
0	1	3	4	0
0	1	3	5	390
0	1	3	6	0
0	1	3	7	402
0	1	4	0	0
0	1	4	1	413
0	1	4	2	0
0	1	4	3	353
0	1	4	4	0
0	1	4	5	445
0	1	4	6	0
0	1	4	7	340
0	1	5	0	322
0	1	5	1	0
0	1	5	2	386
0	1	5	3	0
0	1	5	4	382
0	1	5	5	0
0	1	5	6	429
0	1	5	7	0
0	1	6	0	3862
0	1	6	1	0
0	1	6	2	2763
0	1	6	3	0
0	1	6	4	0
0	1	6	5	0
0	1	6	6	506
0	1	6	7	395
0	1	7	0	393
0	1	7	1	476
0	1	7	2	0
0	1	7	3	0
0	1	7	4	0
0	1	7	5	2034
0	1	7	6	0
0	1	7	7	1580
1	0	0	0	249
1	0	0	1	241
1	0	0	2	0
1	0	0	3	0
1	0	0	4	0
1	0	0	5	381
1	0	0	6	0
1	0	0	7	335
1	0	1	0	423
1	0	1	1	0
1	0	1	2	353
1	0	1	3	0
1	0	1	4	0
1	0	1	5	0
1	0	1	6	258
1	0	1	7	231
1	0	2	0	223
1	0	2	1	0
1	0	2	2	200
1	0	2	3	0
1	0	2	4	478
1	0	2	5	0
1	0	2	6	187
1	0	2	7	0
1	0	3	0	0
1	0	3	1	315
1	0	3	2	0
1	0	3	3	236
1	0	3	4	0
1	0	3	5	291
1	0	3	6	0
1	0	3	7	216
1	0	4	0	0
1	0	4	1	258
1	0	4	2	0
1	0	4	3	735
1	0	4	4	0
1	0	4	5	233
1	0	4	6	0
1	0	4	7	196
1	0	5	0	244
1	0	5	1	0
1	0	5	2	361
1	0	5	3	0
1	0	5	4	213
1	0	5	5	0
1	0	5	6	309
1	0	5	7	0
1	0	6	0	410
1	0	6	1	0
1	0	6	2	428
1	0	6	3	0
1	0	6	4	0
1	0	6	5	0
1	0	6	6	286
1	0	6	7	279
1	0	7	0	263
1	0	7	1	341
1	0	7	2	0
1	0	7	3	0
1	0	7	4	0
1	0	7	5	401
1	0	7	6	0
1	0	7	7	491
1	1	0	0	193
1	1	0	1	179
1	1	0	2	0
1	1	0	3	0
1	1	0	4	0
1	1	0	5	265
1	1	0	6	0
1	1	0	7	313
1	1	1	0	353
1	1	1	1	0
1	1	1	2	361
1	1	1	3	0
1	1	1	4	0
1	1	1	5	0
1	1	1	6	186
1	1	1	7	222
1	1	2	0	196
1	1	2	1	0
1	1	2	2	244
1	1	2	3	0
1	1	2	4	180
1	1	2	5	0
1	1	2	6	227
1	1	2	7	0
1	1	3	0	0
1	1	3	1	236
1	1	3	2	0
1	1	3	3	196
1	1	3	4	0
1	1	3	5	202
1	1	3	6	0
1	1	3	7	225
1	1	4	0	0
1	1	4	1	215
1	1	4	2	0
1	1	4	3	182
1	1	4	4	0
1	1	4	5	187
1	1	4	6	0
1	1	4	7	187
1	1	5	0	245
1	1	5	1	0
1	1	5	2	270
1	1	5	3	0
1	1	5	4	194
1	1	5	5	0
1	1	5	6	200
1	1	5	7	0
1	1	6	0	416
1	1	6	1	0
1	1	6	2	496
1	1	6	3	0
1	1	6	4	0
1	1	6	5	0
1	1	6	6	257
1	1	6	7	189
1	1	7	0	241
1	1	7	1	269
1	1	7	2	0
1	1	7	3	0
1	1	7	4	0
1	1	7	5	585
1	1	7	6	0
1	1	7	7	486
4	0	0	0	1176
4	0	0	1	1194
4	0	0	2	0
4	0	0	3	0
4	0	0	4	0
4	0	0	5	1978
4	0	0	6	0
4	0	0	7	2782
4	0	1	0	1540
4	0	1	1	0
4	0	1	2	1529
4	0	1	3	0
4	0	1	4	0
4	0	1	5	0
4	0	1	6	1011
4	0	1	7	846
4	0	2	0	1063
4	0	2	1	0
4	0	2	2	1307
4	0	2	3	0
4	0	2	4	1056
4	0	2	5	0
4	0	2	6	1422
4	0	2	7	0
4	0	3	0	0
4	0	3	1	1309
4	0	3	2	0
4	0	3	3	1048
