#LHCb RICH ECQA DCR
#DATE		HOUR
2019-10-11	04:56:34
#VOLTAGE[V]
1000
#NPULSES[k]
100
#FREQ[[kHz]
1
# THRESHOLD (if fixed, write hexadecimal value; if optimized, write configuration file name)
307
#UART	FEB	CHIP	CHANNEL	Hit_Counts
0	0	0	0	76
0	0	0	1	75
0	0	0	2	76
0	0	0	3	89
0	0	0	4	60
0	0	0	5	57
0	0	0	6	63
0	0	0	7	77
0	0	1	0	367
0	0	1	1	142
0	0	1	2	609
0	0	1	3	283
0	0	1	4	882
0	0	1	5	511
0	0	1	6	881
0	0	1	7	257
0	0	2	0	160
0	0	2	1	125
0	0	2	2	80
0	0	2	3	63
0	0	2	4	81
0	0	2	5	82
0	0	2	6	67
0	0	2	7	57
0	0	3	0	228
0	0	3	1	1285
0	0	3	2	435
0	0	3	3	1699
0	0	3	4	268
0	0	3	5	1449
0	0	3	6	454
0	0	3	7	893
0	0	4	0	132
0	0	4	1	169
0	0	4	2	159
0	0	4	3	166
0	0	4	4	134
0	0	4	5	185
0	0	4	6	520
0	0	4	7	671
0	0	5	0	1213
0	0	5	1	686
0	0	5	2	396
0	0	5	3	228
0	0	5	4	154
0	0	5	5	122
0	0	5	6	93
0	0	5	7	107
0	0	6	0	1257
0	0	6	1	1099
0	0	6	2	299
0	0	6	3	271
0	0	6	4	159
0	0	6	5	160
0	0	6	6	151
0	0	6	7	169
0	0	7	0	98
0	0	7	1	93
0	0	7	2	105
0	0	7	3	111
0	0	7	4	218
0	0	7	5	162
0	0	7	6	747
0	0	7	7	716
0	1	0	0	126
0	1	0	1	378
0	1	0	2	169
0	1	0	3	594
0	1	0	4	185
0	1	0	5	480
0	1	0	6	140
0	1	0	7	400
0	1	1	0	67
0	1	1	1	53
0	1	1	2	66
0	1	1	3	128
0	1	1	4	75
0	1	1	5	68
0	1	1	6	60
0	1	1	7	74
0	1	2	0	398
0	1	2	1	154
0	1	2	2	403
0	1	2	3	111
0	1	2	4	360
0	1	2	5	110
0	1	2	6	311
0	1	2	7	94
0	1	3	0	61
0	1	3	1	90
0	1	3	2	75
0	1	3	3	65
0	1	3	4	60
0	1	3	5	83
0	1	3	6	109
0	1	3	7	115
0	1	4	0	56
0	1	4	1	114
0	1	4	2	84
0	1	4	3	107
0	1	4	4	150
0	1	4	5	108
0	1	4	6	264
0	1	4	7	192
0	1	5	0	343
0	1	5	1	353
0	1	5	2	100
0	1	5	3	108
0	1	5	4	85
0	1	5	5	109
0	1	5	6	128
0	1	5	7	87
0	1	6	0	636
0	1	6	1	918
0	1	6	2	214
0	1	6	3	172
0	1	6	4	135
0	1	6	5	100
0	1	6	6	118
0	1	6	7	71
0	1	7	0	140
0	1	7	1	112
0	1	7	2	126
0	1	7	3	109
0	1	7	4	184
0	1	7	5	344
0	1	7	6	918
0	1	7	7	1118
1	0	0	0	84
1	0	0	1	163
1	0	0	2	109
1	0	0	3	139
1	0	0	4	99
1	0	0	5	153
1	0	0	6	145
1	0	0	7	172
1	0	1	0	1749
1	0	1	1	522
1	0	1	2	1945
1	0	1	3	561
1	0	1	4	1602
1	0	1	5	516
1	0	1	6	1293
1	0	1	7	720
1	0	2	0	127
1	0	2	1	134
1	0	2	2	77
1	0	2	3	74
1	0	2	4	103
1	0	2	5	66
1	0	2	6	105
1	0	2	7	105
1	0	3	0	255
1	0	3	1	921
1	0	3	2	387
1	0	3	3	1023
1	0	3	4	285
1	0	3	5	968
1	0	3	6	301
1	0	3	7	657
1	0	4	0	89
1	0	4	1	75
1	0	4	2	60
1	0	4	3	143
1	0	4	4	212
1	0	4	5	566
1	0	4	6	1196
1	0	4	7	1640
1	0	5	0	689
1	0	5	1	1375
1	0	5	2	220
1	0	5	3	357
1	0	5	4	130
1	0	5	5	102
1	0	5	6	101
1	0	5	7	78
1	0	6	0	4465
1	0	6	1	4652
1	0	6	2	650
1	0	6	3	671
1	0	6	4	126
1	0	6	5	140
1	0	6	6	113
1	0	6	7	141
1	0	7	0	97
1	0	7	1	110
1	0	7	2	86
1	0	7	3	118
1	0	7	4	437
1	0	7	5	191
1	0	7	6	2989
1	0	7	7	1342
1	1	0	0	91
1	1	0	1	322
1	1	0	2	156
1	1	0	3	392
1	1	0	4	197
1	1	0	5	408
1	1	0	6	207
1	1	0	7	768
1	1	1	0	195
1	1	1	1	106
1	1	1	2	71
1	1	1	3	61
1	1	1	4	65
1	1	1	5	65
1	1	1	6	76
1	1	1	7	79
1	1	2	0	652
1	1	2	1	184
1	1	2	2	504
1	1	2	3	171
1	1	2	4	359
1	1	2	5	143
1	1	2	6	263
1	1	2	7	86
1	1	3	0	70
1	1	3	1	114
1	1	3	2	69
1	1	3	3	72
1	1	3	4	66
1	1	3	5	80
1	1	3	6	111
1	1	3	7	111
1	1	4	0	96
1	1	4	1	170
1	1	4	2	99
