#LHCb RICH ECQA DCR
#DATE		HOUR
2019-10-12	02:32:21
#VOLTAGE[V]
1000
#NPULSES[k]
100
#FREQ[[kHz]
1
# THRESHOLD (if fixed, write hexadecimal value; if optimized, write configuration file name)
/home/labo/DATA/Load_0038_R_S2/THR_1000V_offset1_Opt_Thr.txt
#UART	FEB	CHIP	CHANNEL	Hit_Counts
0	0	0	0	88
0	0	0	1	109
0	0	0	2	74
0	0	0	3	102
0	0	0	4	56
0	0	0	5	77
0	0	0	6	115
0	0	0	7	111
0	0	1	0	838
0	0	1	1	254
0	0	1	2	1678
0	0	1	3	233
0	0	1	4	2931
0	0	1	5	424
0	0	1	6	2717
0	0	1	7	309
0	0	2	0	571
0	0	2	1	352
0	0	2	2	384
0	0	2	3	208
0	0	2	4	225
0	0	2	5	173
0	0	2	6	135
0	0	2	7	143
0	0	3	0	544
0	0	3	1	4834
0	0	3	2	1066
0	0	3	3	10337
0	0	3	4	2146
0	0	3	5	8627
0	0	3	6	2306
0	0	3	7	7953
0	0	4	0	151
0	0	4	1	191
0	0	4	2	281
0	0	4	3	217
0	0	4	4	534
0	0	4	5	885
0	0	4	6	9009
0	0	4	7	10969
0	0	5	0	3878
0	0	5	1	6376
0	0	5	2	804
0	0	5	3	1103
0	0	5	4	289
0	0	5	5	196
0	0	5	6	263
0	0	5	7	145
0	0	6	0	54921
0	0	6	1	45151
0	0	6	2	7975
0	0	6	3	2134
0	0	6	4	443
0	0	6	5	421
0	0	6	6	198
0	0	6	7	213
0	0	7	0	137
0	0	7	1	315
0	0	7	2	214
0	0	7	3	421
0	0	7	4	1186
0	0	7	5	1605
0	0	7	6	30630
0	0	7	7	10675
0	1	0	0	113
0	1	0	1	310
0	1	0	2	169
0	1	0	3	383
0	1	0	4	183
0	1	0	5	637
0	1	0	6	172
0	1	0	7	974
0	1	1	0	112
0	1	1	1	152
0	1	1	2	110
0	1	1	3	60
0	1	1	4	74
0	1	1	5	70
0	1	1	6	104
0	1	1	7	79
0	1	2	0	684
0	1	2	1	311
0	1	2	2	535
0	1	2	3	218
0	1	2	4	341
0	1	2	5	132
0	1	2	6	273
0	1	2	7	112
0	1	3	0	98
0	1	3	1	102
0	1	3	2	110
0	1	3	3	101
0	1	3	4	111
0	1	3	5	117
0	1	3	6	190
0	1	3	7	208
0	1	4	0	170
0	1	4	1	1845
0	1	4	2	159
0	1	4	3	1578
0	1	4	4	584
0	1	4	5	1375
0	1	4	6	11697
0	1	4	7	3984
0	1	5	0	16318
0	1	5	1	13794
0	1	5	2	826
0	1	5	3	562
