# UART(0-7) FEB(0-1) CHIP(0-7) CHANNEL(0-7) EC(0-3) ANODE(0-63)
0 0 0 0 3 14
0 0 0 1 3 13
0 0 0 2 3 0
0 0 0 3 3 0
0 0 0 4 3 0
0 0 0 5 3 6
0 0 0 6 3 0
0 0 0 7 3 5
0 0 1 0 3 8
0 0 1 1 3 0
0 0 1 2 3 7
0 0 1 3 3 0
0 0 1 4 3 0
0 0 1 5 3 0
0 0 1 6 3 16
0 0 1 7 3 15
0 0 2 0 3 30
0 0 2 1 3 0
0 0 2 2 3 29
0 0 2 3 3 0
0 0 2 4 3 22
0 0 2 5 3 0
0 0 2 6 3 21
0 0 2 7 3 0
0 0 3 0 3 0
0 0 3 1 3 24
0 0 3 2 3 0
0 0 3 3 3 23
0 0 3 4 3 0
0 0 3 5 3 32
0 0 3 6 3 0
0 0 3 7 3 31
0 0 4 0 3 0
0 0 4 1 3 45
0 0 4 2 3 0
0 0 4 3 3 46
0 0 4 4 3 0
0 0 4 5 3 37
0 0 4 6 3 0
0 0 4 7 3 38
0 0 5 0 3 39
0 0 5 1 3 0
0 0 5 2 3 40
0 0 5 3 3 0
0 0 5 4 3 47
0 0 5 5 3 0
0 0 5 6 3 48
0 0 5 7 3 0
0 0 6 0 3 61
0 0 6 1 3 0
0 0 6 2 3 62
0 0 6 3 3 0
0 0 6 4 3 0
0 0 6 5 3 0
0 0 6 6 3 53
0 0 6 7 3 54
0 0 7 0 3 55
0 0 7 1 3 56
0 0 7 2 3 0
0 0 7 3 3 0
0 0 7 4 3 0
0 0 7 5 3 63
0 0 7 6 3 0
0 0 7 7 3 64
0 1 0 0 3 10
0 1 0 1 3 9
0 1 0 2 3 0
0 1 0 3 3 0
0 1 0 4 3 0
0 1 0 5 3 2
0 1 0 6 3 0
0 1 0 7 3 1
0 1 1 0 3 4
0 1 1 1 3 0
0 1 1 2 3 3
0 1 1 3 3 0
0 1 1 4 3 0
0 1 1 5 3 0
0 1 1 6 3 12
0 1 1 7 3 11
0 1 2 0 3 26
0 1 2 1 3 0
0 1 2 2 3 25
0 1 2 3 3 0
0 1 2 4 3 18
0 1 2 5 3 0
0 1 2 6 3 17
0 1 2 7 3 0
0 1 3 0 3 0
0 1 3 1 3 20
0 1 3 2 3 0
0 1 3 3 3 19
0 1 3 4 3 0
0 1 3 5 3 28
0 1 3 6 3 0
0 1 3 7 3 27
0 1 4 0 3 0
0 1 4 1 3 41
0 1 4 2 3 0
0 1 4 3 3 42
0 1 4 4 3 0
0 1 4 5 3 33
0 1 4 6 3 0
0 1 4 7 3 34
0 1 5 0 3 35
0 1 5 1 3 0
0 1 5 2 3 36
0 1 5 3 3 0
0 1 5 4 3 43
0 1 5 5 3 0
0 1 5 6 3 44
0 1 5 7 3 0
0 1 6 0 3 57
0 1 6 1 3 0
0 1 6 2 3 58
0 1 6 3 3 0
0 1 6 4 3 0
0 1 6 5 3 0
0 1 6 6 3 49
0 1 6 7 3 50
0 1 7 0 3 51
0 1 7 1 3 52
0 1 7 2 3 0
0 1 7 3 3 0
0 1 7 4 3 0
0 1 7 5 3 59
0 1 7 6 3 0
0 1 7 7 3 60
1 0 0 0 0 14
1 0 0 1 0 13
1 0 0 2 0 0
1 0 0 3 0 0
1 0 0 4 0 0
1 0 0 5 0 6
1 0 0 6 0 0
1 0 0 7 0 5
1 0 1 0 0 8
1 0 1 1 0 0
1 0 1 2 0 7
1 0 1 3 0 0
1 0 1 4 0 0
1 0 1 5 0 0
1 0 1 6 0 16
1 0 1 7 0 15
1 0 2 0 0 30
1 0 2 1 0 0
1 0 2 2 0 29
1 0 2 3 0 0
1 0 2 4 0 22
1 0 2 5 0 0
1 0 2 6 0 21
1 0 2 7 0 0
1 0 3 0 0 0
1 0 3 1 0 24
1 0 3 2 0 0
1 0 3 3 0 23
1 0 3 4 0 0
1 0 3 5 0 32
1 0 3 6 0 0
1 0 3 7 0 31
1 0 4 0 0 0
1 0 4 1 0 45
1 0 4 2 0 0
1 0 4 3 0 46
1 0 4 4 0 0
1 0 4 5 0 37
1 0 4 6 0 0
1 0 4 7 0 38
1 0 5 0 0 39
1 0 5 1 0 0
1 0 5 2 0 40
1 0 5 3 0 0
1 0 5 4 0 47
1 0 5 5 0 0
1 0 5 6 0 48
1 0 5 7 0 0
1 0 6 0 0 61
1 0 6 1 0 0
1 0 6 2 0 62
1 0 6 3 0 0
1 0 6 4 0 0
1 0 6 5 0 0
1 0 6 6 0 53
1 0 6 7 0 54
1 0 7 0 0 55
1 0 7 1 0 56
1 0 7 2 0 0
1 0 7 3 0 0
1 0 7 4 0 0
1 0 7 5 0 63
1 0 7 6 0 0
1 0 7 7 0 64
1 1 0 0 0 10
1 1 0 1 0 9
1 1 0 2 0 0
1 1 0 3 0 0
1 1 0 4 0 0
1 1 0 5 0 2
1 1 0 6 0 0
1 1 0 7 0 1
1 1 1 0 0 4
1 1 1 1 0 0
1 1 1 2 0 3
1 1 1 3 0 0
1 1 1 4 0 0
1 1 1 5 0 0
1 1 1 6 0 12
1 1 1 7 0 11
1 1 2 0 0 26
1 1 2 1 0 0
1 1 2 2 0 25
1 1 2 3 0 0
1 1 2 4 0 18
1 1 2 5 0 0
1 1 2 6 0 17
1 1 2 7 0 0
1 1 3 0 0 0
1 1 3 1 0 20
1 1 3 2 0 0
1 1 3 3 0 19
1 1 3 4 0 0
1 1 3 5 0 28
1 1 3 6 0 0
1 1 3 7 0 27
1 1 4 0 0 0
1 1 4 1 0 41
1 1 4 2 0 0
1 1 4 3 0 42
1 1 4 4 0 0
1 1 4 5 0 33
1 1 4 6 0 0
1 1 4 7 0 34
1 1 5 0 0 35
1 1 5 1 0 0
1 1 5 2 0 36
1 1 5 3 0 0
1 1 5 4 0 43
1 1 5 5 0 0
1 1 5 6 0 44
1 1 5 7 0 0
1 1 6 0 0 57
1 1 6 1 0 0
1 1 6 2 0 58
1 1 6 3 0 0
1 1 6 4 0 0
1 1 6 5 0 0
1 1 6 6 0 49
1 1 6 7 0 50
1 1 7 0 0 51
1 1 7 1 0 52
1 1 7 2 0 0
1 1 7 3 0 0
1 1 7 4 0 0
1 1 7 5 0 59
1 1 7 6 0 0
1 1 7 7 0 60
4 0 0 0 2 14
4 0 0 1 2 13
4 0 0 2 2 0
4 0 0 3 2 0
4 0 0 4 2 0
4 0 0 5 2 6
4 0 0 6 2 0
4 0 0 7 2 5
4 0 1 0 2 8
4 0 1 1 2 0
4 0 1 2 2 7
4 0 1 3 2 0
4 0 1 4 2 0
4 0 1 5 2 0
4 0 1 6 2 16
4 0 1 7 2 15
4 0 2 0 2 30
4 0 2 1 2 0
4 0 2 2 2 29
4 0 2 3 2 0
4 0 2 4 2 22
4 0 2 5 2 0
4 0 2 6 2 21
4 0 2 7 2 0
4 0 3 0 2 0
4 0 3 1 2 24
4 0 3 2 2 0
4 0 3 3 2 23
4 0 3 4 2 0
4 0 3 5 2 32
4 0 3 6 2 0
4 0 3 7 2 31
4 0 4 0 2 0
4 0 4 1 2 45
4 0 4 2 2 0
4 0 4 3 2 46
4 0 4 4 2 0
4 0 4 5 2 37
4 0 4 6 2 0
4 0 4 7 2 38
4 0 5 0 2 39
4 0 5 1 2 0
4 0 5 2 2 40
4 0 5 3 2 0
