# UART(0-7) FEB(0-1) CHIP(0-7) CHANNEL(0-7) EC(0-3) PMT(A-D) ANODE(0-63)
0 0 0 0 3 D 37
0 0 0 1 3 D 45
0 0 0 2 3 D 38
0 0 0 3 3 D 46
0 0 0 4 3 D 39
0 0 0 5 3 D 47
0 0 0 6 3 D 40
0 0 0 7 3 D 48
0 0 1 0 3 D 64
0 0 1 1 3 D 56
0 0 1 2 3 D 63
0 0 1 3 3 D 55
0 0 1 4 3 D 62
0 0 1 5 3 D 54
0 0 1 6 3 D 61
0 0 1 7 3 D 53
0 0 2 0 3 D 41
0 0 2 1 3 D 33
0 0 2 2 3 D 42
0 0 2 3 3 D 34
0 0 2 4 3 D 43
0 0 2 5 3 D 35
0 0 2 6 3 D 36
0 0 2 7 3 D 44
0 0 3 0 3 D 52
0 0 3 1 3 D 60
0 0 3 2 3 D 51
0 0 3 3 3 D 59
0 0 3 4 3 D 50
0 0 3 5 3 D 58
0 0 3 6 3 D 49
0 0 3 7 3 D 57
0 0 4 0 3 A 30
0 0 4 1 3 A 29
0 0 4 2 3 A 21
0 0 4 3 3 A 22
0 0 4 4 3 A 13
0 0 4 5 3 A 14
0 0 4 6 3 A 5
0 0 4 7 3 A 6
0 0 5 0 3 A 8
0 0 5 1 3 A 7
0 0 5 2 3 A 16
0 0 5 3 3 A 15
0 0 5 4 3 A 24
0 0 5 5 3 A 23
0 0 5 6 3 A 32
0 0 5 7 3 A 31
0 0 6 0 3 A 62
0 0 6 1 3 A 61
0 0 6 2 3 A 54
0 0 6 3 3 A 53
0 0 6 4 3 A 46
0 0 6 5 3 A 45
0 0 6 6 3 A 38
0 0 6 7 3 A 37
0 0 7 0 3 A 39
0 0 7 1 3 A 40
0 0 7 2 3 A 47
0 0 7 3 3 A 48
0 0 7 4 3 A 55
0 0 7 5 3 A 56
0 0 7 6 3 A 63
0 0 7 7 3 A 64
0 1 0 0 3 D 13
0 1 0 1 3 D 5
0 1 0 2 3 D 14
0 1 0 3 3 D 6
0 1 0 4 3 D 15
0 1 0 5 3 D 7
0 1 0 6 3 D 16
0 1 0 7 3 D 8
0 1 1 0 3 D 24
0 1 1 1 3 D 32
0 1 1 2 3 D 23
0 1 1 3 3 D 31
0 1 1 4 3 D 22
0 1 1 5 3 D 30
0 1 1 6 3 D 21
0 1 1 7 3 D 29
0 1 2 0 3 D 1
0 1 2 1 3 D 9
0 1 2 2 3 D 2
0 1 2 3 3 D 10
0 1 2 4 3 D 3
0 1 2 5 3 D 11
0 1 2 6 3 D 4
